index,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
273,the valley,18.217,-63.0578,79.63,73,20,11.5,AI,1619477265
274,rochefort,45.9167,-1.0,54.27,66,0,6.91,FR,1619477563
275,carbonia,39.1672,8.5222,59.7,88,40,3.44,IT,1619477563
276,yushu,44.8,126.5333,56.12,52,100,19.42,CN,1619477564
277,kahului,20.8947,-156.47,76.66,57,40,14.97,US,1619477172
278,cidreira,-30.1811,-50.2056,64.09,70,35,10.13,BR,1619477320
279,vostok,46.4856,135.8833,47.97,33,31,3.06,RU,1619477319
280,white oak,39.2131,-84.5994,73.85,25,1,8.05,US,1619477565
281,vardo,70.3705,31.1107,28.4,74,20,11.5,NO,1619477565
282,grindavik,63.8424,-22.4338,41.0,87,20,4.61,IS,1619477151
283,sobolevo,54.4299,31.8996,30.31,77,13,4.65,RU,1619477566
284,visby,57.6409,18.296,36.61,81,90,10.36,SE,1619477566
285,namatanai,-3.6667,152.4333,84.45,68,56,3.24,PG,1619477566
286,marquette,46.5333,-87.6335,34.25,93,100,8.3,US,1619477567
287,camopi,3.1655,-52.3158,72.82,99,100,2.64,GF,1619477567
288,saldanha,-33.0117,17.9442,62.6,94,80,20.71,ZA,1619477284
289,cascais,38.6979,-9.4215,60.21,94,94,8.01,PT,1619477375
290,hirtshals,57.5881,9.9592,32.14,60,2,2.3,DK,1619477568
291,vila nova de milfontes,37.7238,-8.7828,57.99,92,64,1.99,PT,1619477568
292,iquitos,-3.7481,-73.2472,78.8,89,75,2.3,PE,1619477569
293,teya,60.3778,92.6267,30.81,93,45,2.84,RU,1619477569
294,port hedland,-20.3167,118.5667,68.0,34,1,10.36,AU,1619477569
295,leningradskiy,69.3833,178.4167,30.13,86,38,4.79,RU,1619477570
296,sakaiminato,35.55,133.2333,45.68,76,75,2.3,JP,1619477570
297,maldonado,-34.6667,-54.9167,63.34,72,75,14.97,UY,1619477277
298,tocopilla,-22.092,-70.1979,66.87,66,11,4.25,CL,1619477571
299,emerald,-23.5333,148.1667,66.99,39,90,9.22,AU,1619477571
300,port blair,11.6667,92.75,80.69,74,67,4.36,IN,1619477249
301,remanso,-9.6179,-42.0831,81.37,59,85,6.55,BR,1619477572
302,anloga,5.7947,0.8973,84.2,84,40,8.05,GH,1619477313
303,aztec,36.8222,-107.9929,68.92,10,1,10.36,US,1619477572
304,camacha,33.0833,-16.3333,62.6,82,40,11.5,PT,1619477572
305,inhambane,-23.865,35.3833,71.87,87,1,5.55,MZ,1619477277
306,codrington,-38.2667,141.9667,56.71,74,70,1.83,AU,1619477573
307,neiafu,-18.65,-173.9833,82.4,83,75,13.8,TO,1619477573
308,yulara,-25.2406,130.9889,55.4,50,0,8.05,AU,1619477276
309,lebu,-37.6167,-73.65,54.55,86,3,10.16,CL,1619477289
310,antalaha,-14.9003,50.2788,72.77,90,58,5.21,MG,1619477574
311,vestmanna,62.1564,-7.1664,39.2,81,100,19.57,FO,1619477575
312,clarksburg,39.2807,-80.3445,66.96,24,1,4.61,US,1619477575
313,gat,31.61,34.7642,62.15,100,69,5.95,IL,1619477576
314,seydi,39.4816,62.9137,71.37,24,0,10.25,TM,1619477576
315,bathsheba,13.2167,-59.5167,80.6,57,40,14.97,BB,1619477109
316,razole,16.4833,81.8333,78.13,80,1,3.04,IN,1619477577
317,cape coast,5.1053,-1.2466,81.81,86,92,9.8,GH,1619477577
318,hualmay,-11.0964,-77.6139,67.55,85,12,9.95,PE,1619477577
319,port lincoln,-34.7333,135.8667,62.91,72,95,6.64,AU,1619477293
320,mana,5.6592,-53.7767,77.02,90,100,10.94,GF,1619477578
321,sao filipe,14.8961,-24.4956,71.8,76,15,9.78,CV,1619477244
322,nileshwar,12.25,75.1,82.0,83,1,7.11,IN,1619477578
323,kupang,-10.1667,123.5833,74.07,72,82,6.15,ID,1619477579
324,valparaiso,-33.0393,-71.6273,54.5,100,90,3.44,CL,1619477286
325,la seyne-sur-mer,43.0982,5.8847,58.44,67,87,7.0,FR,1619477579
326,campos,-21.75,-41.3,71.08,96,31,6.62,BR,1619477580
327,seoul,37.5683,126.9778,54.27,71,0,3.44,KR,1619477409
328,ostersund,63.1792,14.6357,32.0,69,90,6.91,SE,1619477580
329,presidencia roque saenz pena,-26.7852,-60.4388,57.43,62,0,4.63,AR,1619477581
330,puerto baquerizo moreno,-0.9,-89.6,80.6,74,75,14.97,EC,1619477581
331,la romana,18.4273,-68.9728,78.8,83,75,11.5,DO,1619477581
332,auch,43.65,0.5833,52.41,95,100,1.99,FR,1619477582
333,sebring,27.4956,-81.4409,81.36,47,40,11.5,US,1619477582
334,datia,25.6667,78.4667,82.98,7,3,5.3,IN,1619477583
